                  bic     drift     noise      bias       ndt
0          443.576431  0.403546  0.368876 -0.278941  0.094668
1          875.981638  0.096721  0.194593 -0.066322  0.083425
2          550.617604  0.263634  0.274453 -0.224842  0.095580
3          698.004648  0.163944  0.192467 -0.096242  0.099018
4          780.101301  0.141472  0.239375 -0.083149  0.097455
5          506.062985  0.410498  0.876866 -0.269408  0.020913
6         1323.869324  0.094724  0.802427  0.435531  0.000836
7          477.307972  0.380505  0.686332 -0.126680  0.095847
8          527.372644  0.372288  0.563915 -0.045598  0.084873
9          283.728724  0.711251  0.882524 -0.224483  0.092215
10         449.244015  0.398684  0.377146 -0.221838  0.099669
11         445.149849  0.527458  0.716409 -0.126213  0.094105
12         543.149592  0.326555  0.482749 -0.204482  0.097097
13         278.633677  0.500633  0.464375  0.184867  0.093798
14         371.633050  0.527216  0.577546 -0.185123  0.093942
15         413.542183  0.442782  0.443406 -0.210781  0.093052
16         325.147032  0.575332  0.509449 -0.242682  0.090275
17         485.367050  0.417310  0.491472 -0.035535  0.095607
18         681.453095  0.179195  0.277174 -0.321793  0.098201
19         215.394457  0.675111  1.088960 -0.236287  0.098189
20         694.161512  0.204107  0.320840  0.086849  0.074518
21         496.614927  0.326666  0.350436 -0.203702  0.093763
22         540.362789  0.296376  0.334997 -0.170406  0.094721
23         526.988491  0.323685  0.356544 -0.206037  0.090287
24         513.256894  0.320456  0.510935 -0.336637  0.097051
mean       537.868875  0.363206  0.495371 -0.136397  0.086764
se          45.113070  0.033230  0.046792  0.033858  0.004735
ci_lower   449.447258  0.298075  0.403658 -0.202760  0.077484
ci_upper   626.290492  0.428336  0.587084 -0.070035  0.096045
