                  bic     drift     noise      bias       ndt
0          445.874866  0.346057  0.426545 -0.238529  0.095246
1          859.529666  0.094835  0.197338 -0.068017  0.075893
2          542.243539  0.252691  0.298495 -0.225579  0.091235
3          687.740087  0.157038  0.202863 -0.088741  0.055150
4          771.773849  0.135681  0.251095 -0.109692  0.094115
5          491.102162  0.419999  0.887037 -0.282471  0.044468
6         1149.882252  0.093583  0.711026  0.225663  0.000392
7          472.927255  0.351923  0.688577 -0.151661  0.094010
8          561.063172  0.301981  0.550459 -0.025231  0.023366
9          273.322166  0.732272  0.881335 -0.273638  0.092230
10         468.267314  0.360623  0.421430 -0.207642  0.093582
11         471.548029  0.437630  0.729249 -0.145418  0.090176
12         539.186059  0.293723  0.498595 -0.232222  0.093888
13         351.654243  0.452464  0.519838  0.169765  0.091649
14         386.057518  0.493979  0.606056 -0.248424  0.092385
15         388.551689  0.439960  0.448784 -0.241320  0.099675
16         316.834559  0.559841  0.531629 -0.254723  0.090185
17         506.165384  0.371848  0.506821 -0.039898  0.092082
18         659.141451  0.176906  0.287011 -0.336902  0.095005
19         222.187969  0.692151  1.099101 -0.269187  0.099819
20         726.990386  0.175831  0.335471  0.088725  0.000761
21         498.865159  0.311308  0.377791 -0.220807  0.085227
22         541.689811  0.280105  0.359760 -0.186818  0.098618
23         508.109521  0.309536  0.378359 -0.179479  0.098412
24         475.526995  0.328203  0.502137 -0.404795  0.096569
mean       532.649404  0.342807  0.507872 -0.157882  0.079366
se          39.486029  0.033071  0.045073  0.030149  0.006004
ci_lower   455.256788  0.277988  0.419529 -0.216974  0.067598
ci_upper   610.042020  0.407626  0.596215 -0.098789  0.091133
