"subj","trial","choice","rxn_time","machine","StimuliSeen","stim","S0","S1","S2","Selse"
"1",1,"YES",973.899999991059,1,3,2.875,1.125,1.875,2.875,NA
"1",1,"YES",973.899999991059,1,3,1.875,1.125,1.875,2.875,NA
"1",1,"YES",973.899999991059,1,3,1.125,1.125,1.875,2.875,NA
"1",2,"YES",1161.19999998808,1,3,2.875,2.125,2.875,2.875,NA
"1",2,"YES",1161.19999998808,1,3,2.875,2.125,2.875,2.875,NA
"1",2,"YES",1161.19999998808,1,3,2.125,2.125,2.875,2.875,NA
"1",3,"NO",1394,-2,4,0.875,-2.375,-2.875,-2.875,0.875
"1",3,"NO",1394,-2,4,-2.875,-2.375,-2.875,-2.875,0.875
"1",3,"NO",1394,-2,4,-2.875,-2.375,-2.875,-2.875,0.875
"1",3,"NO",1394,-2,4,-2.375,-2.375,-2.875,-2.875,0.875
"1",4,"NO",2413.20000000298,-2,8,0.875,0.875,-2.875,-1.875,-2.875
"1",4,"NO",2413.20000000298,-2,8,-0.375,0.875,-2.875,-1.875,-2.875
"1",4,"NO",2413.20000000298,-2,8,-2.875,0.875,-2.875,-1.875,-2.875
"1",4,"NO",2413.20000000298,-2,8,-1.875,0.875,-2.875,-1.875,-2.875
"1",4,"NO",2413.20000000298,-2,8,-2.875,0.875,-2.875,-1.875,-2.875
"1",4,"NO",2413.20000000298,-2,8,-1.875,0.875,-2.875,-1.875,-2.875
"1",4,"NO",2413.20000000298,-2,8,-2.875,0.875,-2.875,-1.875,-2.875
"1",4,"NO",2413.20000000298,-2,8,0.875,0.875,-2.875,-1.875,-2.875
"1",5,"NO",4054.5,-1,13,0.375,-2.625,-2.875,-0.875,0.375
"1",5,"NO",4054.5,-1,13,1.375,-2.625,-2.875,-0.875,0.375
"1",5,"NO",4054.5,-1,13,-2.875,-2.625,-2.875,-0.875,0.375
"1",5,"NO",4054.5,-1,13,-2.875,-2.625,-2.875,-0.875,0.375
"1",5,"NO",4054.5,-1,13,0.125,-2.625,-2.875,-0.875,0.375
"1",5,"NO",4054.5,-1,13,-0.875,-2.625,-2.875,-0.875,0.375
"1",5,"NO",4054.5,-1,13,1.625,-2.625,-2.875,-0.875,0.375
"1",5,"NO",4054.5,-1,13,-2.375,-2.625,-2.875,-0.875,0.375
"1",5,"NO",4054.5,-1,13,0.875,-2.625,-2.875,-0.875,0.375
